Learner,Gender,Semester,Type,Submission Sequence,Description,Observing the Status Quo (OSQ) Mastery Level,Assessing Personal Interest (API) Mastery Level,Exploring the Problem Space (EPS) Mastery Level,Assessing the ROI of Time/Effort (ROI) Required Mastery Level,Estimating the Value for Customers (EVC) Mastery Level,Identifying Others to De-risk the Opportunity (ODR) Mastery Level,Taking Action to Build Momentum (ABM) Mastery Level,Feedback Given,Correct,Incorrect,Next steps
HM,1,Spring,Observation,1,"As a future dentist and someone who has been to regular dental hygiene visits, a question I ask myself is: Why is there not a better, gentler, and more appealing way to apply fluoride to teeth? People tend to put things in their mouth that they like, that tastes good, that’s sensory appealing, etc. Fluoride is the opposite. It has the most disgusting texture and taste, plus, you have to wait a certain amount of time to eat and drink. Not a single soul enjoys using it. Children and adults tend to steer away from getting fluoride at the dentist due to its bad taste and texture. This leads to bad dental practice and eventually bad dental health. In due course, bad dental health leads to more dental visits (fixes, surgeries, etc). Therefore, more money in the long run. These issues steer people away from increasing their teeth’s longevity by using fluoride. Fluoride needs to be made to have a more general texture, better taste, more appealing, and generally, just better. ",Emerging,Awareness,Awareness,No Evidence,Awareness,No Evidence,No Evidence,Great job! I love the dental focus. I'd encourage you to consider both sides of the issue. You've done a great job of focusing on the customer's experience. I'd also invite you to think about the dentist's or Apple's side of the experience. Especially since they would be the ones to buy a solution. How might addressing these issues improve the business outcomes (traditionally lowering costs or increasing revenue?). It isn't clear why the business should make a switch. We're looking for win-win-win (consumer-business-entrepreneur) situations,"OSQ: Describes a negative personal experience, using words like ""disgusting"" and ""bad texture and taste"", but recognizes the commonality, as evidenced by switching from ""I"" to ""People"", ""Children and adults"". This implies a consideration of EPS who else would benefit from a solution. They consider the impact of the current solutions and imagines a ""better, gentler, and more appealing"" version, economic system, and selling them to dentists that would value (EVC) and benefit ""in the long run"". 
API: It is an idea that aligns with career aspirations.","OSQ: Limited perspective, primarily focusing on the consumer/end user experience. Indirect benefit to the dentist estimated without consideration as to why they might choose to use the fluoride that doesn't taste good.
API: While this is a personal issue it isn't clear if  it is something they are personally committed to pursue. They could be the founder or one of the early adopters because they experience the problem personally.
EPS: No consideration of current dominant fluoride producers, exclusivity, barriers to entry.
EVC: Lacking estimates of unit costs or pricing to create the new solution and how it compares to current offerings.",Praise what they did correctly. Invite them to consider the business' (dentist) experience and why this problem hasn't yet been solved?
HM,1,Spring,Observation,1,"Why are dental x-rays so uncomfortable? In my lifetime, I’ve experienced two types of dental x-rays: intraoral/extraoral and digital panoramic. The first, intraoral/extraoral, uses a hard plastic film that hurts your mouth = uncomfortable. The second, digital panoramic, puts your head in somewhat of a cast and has you bite on a metal lip = uncomfortable. Is there a way to develop a more comfortable way for dental x-rays? The ideal dental x-ray should have high accuracy, comfort, and the least amount of radiation possible. Not only are these expensive, but attitudes form from the uncomfortableness of the x-rays.",Awareness,Awareness,Awareness,No Evidence,Awareness,No Evidence,No Evidence,Great job! I love the dental focus. I'd encourage you to consider both sides of the issue. You've done a great job of focusing on the customer's experience. I'd also invite you to think about the dentist's or Apple's side of the experience. Especially since they would be the ones to buy a solution. How might addressing these issues improve the business outcomes (traditionally lowering costs or increasing revenue?). It isn't clear why the business should make a switch. We're looking for win-win-win (consumer-business-entrepreneur) situations,"OSQ: Describes a negative personal experience, using words like ""uncomfortable"" and ""hurts your mouth"", but recognizes the commonality, as evidenced by referring to experiences over a ""lifetime"". They consider the impact of the current solutions using technical terms to refer to types (EPS) and imagines the ""ideal dental x-rays should have high accuracy, comfort, and the least amount of radiation possible"" and then mentions the expensive costs of current offerings (EVC). 
API: It is an idea that aligns with career aspirations.","OSQ: Limited perspective, primarily focusing on the consumer/end user experience. Indirect benefit to the dentist estimated without consideration as to why they might choose to use the fluoride that doesn't taste good.
API: While this is a personal issue it isn't clear if  it is something they are personally committed to pursue. They could be the founder or one of the early adopters because they experience the problem personally.
EPS: No consideration of who else would benefit from the new solution, exclusivity or barriers to entry.
EVC: Lacking estimates of how much businesses spend and profit on xrays.","Praise what they did correctly. Invite them to consider the business' (dentist) experience and why this problem hasn't yet been solved? Also invite them to also consider, ""Do you or someone you know, know how to make x-ray equipment?"" to encourage them to identify ODR."
HM,1,Spring,Observation,1,"Numbing gel or shot first? The numbing gel sounds more appealing than a shot in the mouth. Most dental procedures begin with a shot rather than the numbing gel, then the shot. Preferably, I prefer the gel then the shot. Most offices do not give the patient a choice. As a young child, I appreciated and enjoyed the choice of the numbing gel first. Children are more accustomed to being fearful and forming attitudes. I believe that if there were multiple appealing flavors of numbing gel to begin a dental procedure with, then the procedure would go more smoothly. After the numbing gel has numbed the area, a shot could be administered for more comfort. ",Awareness,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,Great job! I love the dental focus. I'd encourage you to consider both sides of the issue. You've done a great job of focusing on the customer's experience. I'd also invite you to think about the dentist's or Apple's side of the experience. Especially since they would be the ones to buy a solution. How might addressing these issues improve the business outcomes (traditionally lowering costs or increasing revenue?). It isn't clear why the business should make a switch. We're looking for win-win-win (consumer-business-entrepreneur) situations,"OSQ: Describes a negative personal experience that was made better by being offered a choice of numbing gel first before the shot. Suggests that flavored numbing gel would improve the experience.
API: It is an idea that aligns with career aspirations.","OSQ: Needs to consider the experience of the dental provider and why they don't offer the gel ahead of time or how the dentist's business would be improved (reduced costs or increase in revenue) by flavored numbing gel. Admits that not everyone has a choice, not clear the reason for this or if offerring the solution would fix the identified problem
",Remind them that when the customer is a business they need to consider how addressing these end consumer issues improve the business outcomes (traditionally lowering costs or increasing revenue?). It isn't clear why the business should make a switch. Help them to make sure their solutions line up to the problem so their isn't a misalignment (Will dentists change they way they do things if there are now flavored gels? Is that why they haven't given people a choice before?)
HM,1,Spring,Observation,1,"Throughout history, equine dentists have used labor intensive tools when working on a horse’s teeth. Recently, power tools have been used. Obviously, horses do NOT react well to having a drilling sensation from a power tool in their mouth. Therefore, they must be sedated. Is there a better and less expensive way to provide dental care for equines? For dental care to be provided for a horse, one’s mouth must be barred open until finished with the treatment (which can take up to thirty minutes give or take). The horse must be sedated (which is expensive mostly due to their size) and help up by a support. Then, the equine dentist will get to work. This process is labor intensive whether power tools are used or not. Power tools just shorten the length of time. Can quieter, smaller, and lighter tools be made to aid in not only the horse’s comfort, but the human’s as well? ",Emerging,Awareness,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,Great job! I love the dental focus. I'd encourage you to consider both sides of the issue. You've done a great job of focusing on the customer's experience. I'd also invite you to think about the dentist's or Apple's side of the experience. Especially since they would be the ones to buy a solution. How might addressing these issues improve the business outcomes (traditionally lowering costs or increasing revenue?). It isn't clear why the business should make a switch. We're looking for win-win-win (consumer-business-entrepreneur) situations,"OSQ: Describes a negative experience for equine dentist businesses, referencing the high labor costs and amount of sedation required. Provide a general solution that is quieter, smaller, and lighter. 
API: It is an idea that aligns with career aspirations.",OSQ: Not clear that the better solution would address the issues presented:  It is likely that the horse will still require sedation. It may or may not reduce labor hours.,Praise what they did correctly. Encourage them to consider if their is alignment between the problem and the proposed solution.
HM,1,Spring,Observation,1,"(This is not related to dental): Why are Apple products so incompatible with almost everything else? This is an inconvenience to many users out there. Other brands are compatible with almost everything… except Apple. A specific charging port is used for these products. A specific type of connection for a mouse or USB drive is used for these products. Not everything can be downloaded to Apple products either. If you are a gamer, then you will want to avoid Apple products at all costs. Very rarely are things compatible. This is very frustrating and a huge inconvenience. Why hasn’t Apple created easier compatibility for its users?",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,Great job! I love the dental focus. I'd encourage you to consider both sides of the issue. You've done a great job of focusing on the customer's experience. I'd also invite you to think about the dentist's or Apple's side of the experience. Especially since they would be the ones to buy a solution. How might addressing these issues improve the business outcomes (traditionally lowering costs or increasing revenue?). It isn't clear why the business should make a switch. We're looking for win-win-win (consumer-business-entrepreneur) situations,Provided emotional evidence of a common negative experience and suggests that it improve,Lack of consideration of a differentiated economic system. ,Praise the correct items briefly the remind them that they are trying to notice entrepreneurial opportunities rather than simply process improvements or feature additions. Point out that  to solve the problem identified would require to build an entire device company just to be able to make that part change as a way to have them begin to think about ROI
AM,0,Spring,Observation,1,"First, I noticed, walking around campus, that the obnoxious bright blue salt used on the sidewalks for snow prevention was everywhere. While it has its practical uses, it is messy and quite the eyesore. An alternative would be quite useful. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Good description of the situation. Next time be mindful of your physical reactions to your emotions. This will help you notice it in others, so you know when to explore more deeply to find out what the unmet need is.",Effort being made to notice surroundings and problems they are experiencing.,"Lacks emotional evidence description of the potential buyer (grounds crew), detail, commonality, or implied solution and economic system.","Encourage continued effort observing but consider if it is a problem they would pay to fix, as a way to measure the intensity of the emotion experienced."
AM,0,Spring,Observation,1,"Second, while shopping around after classes, I was looking for a specific product from different stores. I had gone to three different locations to find out that at each one, the product I was looking for was either out of stock or simply not sold there. I don't quite know how this slight inconvenience could be prevented, but a possible solution could be very convenient to consumers. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Good description of the situation. Next time be mindful of your physical reactions to your emotions. This will help you notice it in others, so you know when to explore more deeply to find out what the unmet need is.",Effort being made to notice surroundings and problems they are experiencing. Some general emotions recognized. Implied solution suggested.,"Lacks detail, commonality, or implied solution and economic system.",Ask if they have conducting any search for the desirable products as a way to gauge demand or value.
AM,0,Spring,Observation,1,"Third, while listening to some records at home, I grew annoyed with the amount of times the needed skipped or jumped off the disc due to the force of my heavier footsteps around my house. If there was a product that could give better 'suspension' to my turntable, one which could universally fit many shapes and sizes of players, that would be an easy purchase for me.",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Good description of the situation. Next time be mindful of your physical reactions to your emotions. This will help you notice it in others, so you know when to explore more deeply to find out what the unmet need is.",Effort being made to notice surroundings and problems they are experiencing. Some general emotions recognized. Implied solution suggested.,"Lacks detail, commonality, or implied solution and economic system. Unclear if they are interested enough to search for alternative products.",Ask if they have conducting any search for the desirable products as a way to gauge demand or value.
AM,0,Spring,Observation,1,"Fourth, after making peanut butter toast for myself, I put it away in a sandwich container. A few hours later when I meant to eat it, I noticed it wasn't nearly as crisp as it was fresh out the toaster, and if anything, it was soft and stale. If there was a small, food-safe packet I could throw into the sandwich container as well to better preserve the toast, that would again be a very convenient product I'd definitely consider buying. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Good description of the situation. Next time be mindful of your physical reactions to your emotions. This will help you notice it in others, so you know when to explore more deeply to find out what the unmet need is.",Effort being made to notice surroundings and problems they are experiencing. Some general emotions recognized. Implied solution suggested.,"Lacks detail, commonality, or implied solution and economic system. Unclear if they are interested enough to search for alternative products.",Ask if they have conducting any search for the desirable products as a way to gauge demand or value.
AM,0,Spring,Observation,1,"Lastly, I had many dishes to do, including many cups to clean. For a bit of context, when visiting my father over Christmas break, I found he had a built-in high pressure cup cleaner attached to his sink; The kind you would typically see in a restaurant or bar. If there was a consumer version of the cleaner that could attach (with some work) to most kitchen sinks, It could very well speed up my dishwashing process.  ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,"Good description of the situation. Next time be mindful of your physical reactions to your emotions. This will help you notice it in others, so you know when to explore more deeply to find out what the unmet need is.",Effort being made to notice surroundings and problems they are experiencing. Some general emotions recognized. Implied solution suggested.,"Lacks detail, commonality, or implied solution and economic system. Unclear if they are interested enough to search for alternative products.",Ask if they have conducting any search for the desirable products as a way to gauge demand or value.
LM,1,Spring,Observation,1,"A problem from today would be that I could not find medicine for a baby. Evidence of this problem would be having to go to multiple stores just to find what I was looking for. The emotion that was felt during this problem would have been frustration, the emotion was pretty intense but easily faded once the medicine was found. I would assume this emotion is felt frequently but the scenario and situation are most likely different.",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,Great job looking for both problems and great experiences! As you come across great experiences start to ask yourself how this feeling could be replicated or how you might package tools or training that you could sell to other businesses that might want their customers to feel that way. ,Observed a negative experience and noted general emotions felt.,"The problem was resolved with current offerings, no alternatives were suggested.",Praise their emotional evidence descriptions and invite them to consider what kind of product or service would they pay for to not experience that again as a way of encouraging them to identify negative experience that are not easily addressed.
LM,1,Spring,Observation,1,A great experience from today would be excellent customer service that I experienced today at a gas station. What I observed was a cashier who was trying to help me get the products I was looking for. I felt very happy during this experience as I felt cared for. The emotion was quite intense as I was having a bad day before.,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,Great job looking for both problems and great experiences! As you come across great experiences start to ask yourself how this feeling could be replicated or how you might package tools or training that you could sell to other businesses that might want their customers to feel that way. ,Observed a positive experience and noted the intensity of the emotions felt.,Did not consider how the customer experience could be duplicated or applied to a different setting.,"Praise their emotional evidence descriptions, particularly the intesity level. Point out that a positive experience at the right time can be very valuable like it was for them. Invite them to consider how they could replicate that customer experience in a startup that helps people in situations where they generally have a bad day."
LM,1,Spring,Observation,1,"Another problem from today would be difficulty getting into a business’s driveway and parking lot. I observed the business’s driveway being at a very inconvenient spot on a very busy street and other people driving past the driveway to turn around and enter from a different direction. The biggest evidence of this problem was three cars honking because I was blocking part of the busy road. In the moment I felt stressed out, so the emotion was again very intense. Stress is frequently felt. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,Great job looking for both problems and great experiences! As you come across great experiences start to ask yourself how this feeling could be replicated or how you might package tools or training that you could sell to other businesses that might want their customers to feel that way. ,Observed a personal negative experience and noted both the specific emotion felt (stress) and how frequently this occurs.,Lack of consideration of a differentiated economic system.  Not apparent how this is a source of a business idea.,Praise their emotional evidence observations. Point out that to solve the problem identified would require the construction of a new entrance which is more of a n improvement for an existing business rather than a new entrepreneurial opportunity.
LM,1,Spring,Observation,1,A need that I noticed during my day is an increased need for stable mental health services. I observed an individual in my life having a breakdown because life was stressful. I think a piece of evidence that shows that this need is important are the different mental health statistics and the facial expression of tiredness. The feeling of tired and stressed out is believed to be very intense and I believe this person feels these emotions quite frequently.,Awareness,No Evidence,Awareness,No Evidence,No Evidence,No Evidence,No Evidence,Great job looking for both problems and great experiences! As you come across great experiences start to ask yourself how this feeling could be replicated or how you might package tools or training that you could sell to other businesses that might want their customers to feel that way. ,"Observed a negative experience and noted both the specific emotion felt and how frequently this occurs. They also explored how common the experience was as indicated by the reference to the ""mental health statistics""",Lack of consideration of a differentiated economic system or the root cause of the issues observed.  ,Praise their emotional evidence observations and finding an issue that can be commonly experienced. Point out the need to understand what is already out there to address mental health and why they weren't used or didn't work in the observed case.
LM,1,Spring,Observation,1,"Another great experience from today would be watching someone help another individual find an item in a store. I observed an individual looking around confused for an item when a employee in the store asked the individual if they needed help finding something. Evidence that there was a great experience was a look of thankfulness and appreciation. As for the intensity and frequency of these emotions, I wouldn’t know. ",Awareness,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,No Evidence,Great job looking for both problems and great experiences! As you come across great experiences start to ask yourself how this feeling could be replicated or how you might package tools or training that you could sell to other businesses that might want their customers to feel that way. ,Observed a positive experience and was aware of their lack of knowledge regarding the frequency or intensity.,Lack of consideration of a differentiated economic system.  Not apparent how this is a source of a business idea.,Praise their emotional evidence observations and their recognition of not knowing how big of a problem this is. Ask them to consider how they could find out about the frquency or intensity. Invite them to think about how they could replicate that customer experience in a startup that helps people find what they are looking for.
